symbol,listing_date,venue,source,source_url,verified_at
510300,2012-05-28,SSE,SSE official fund list,https://etf.sse.com.cn/fundlist/,2026-08-06
510500,2013-03-15,SSE,SSE official fund list,https://etf.sse.com.cn/fundlist/,2026-08-06
512100,2016-11-04,SSE,SSE official fund list,https://etf.sse.com.cn/fundlist/,2026-08-06
159915,2011-12-09,SZSE,SZSE official fund list,https://fund.szse.cn/marketdata/fundslist/index.html,2026-08-06
588000,2020-11-16,SSE,SSE official fund list,https://etf.sse.com.cn/fundlist/,2026-08-06
512880,2016-08-08,SSE,SSE official fund list,https://etf.sse.com.cn/fundlist/,2026-08-06
512690,2019-05-06,SSE,SSE official fund list,https://etf.sse.com.cn/fundlist/,2026-08-06
512480,2019-06-12,SSE,SSE official fund list,https://etf.sse.com.cn/fundlist/,2026-08-06
515790,2020-12-18,SSE,SSE official fund list,https://etf.sse.com.cn/fundlist/,2026-08-06
512010,2013-10-28,SSE,SSE official fund list,https://etf.sse.com.cn/fundlist/,2026-08-06
512660,2016-08-08,SSE,SSE official fund list,https://etf.sse.com.cn/fundlist/,2026-08-06
512800,2017-08-03,SSE,SSE official fund list,https://etf.sse.com.cn/fundlist/,2026-08-06
510050,2005-02-23,SSE,SSE official fund list,https://etf.sse.com.cn/fundlist/,2026-08-06
518880,2013-07-29,SSE,SSE official fund list,https://etf.sse.com.cn/fundlist/,2026-08-06
511010,2013-03-25,SSE,SSE official fund list,https://etf.sse.com.cn/fundlist/,2026-08-06
511260,2017-08-24,SSE,SSE official fund list,https://etf.sse.com.cn/fundlist/,2026-08-06
513100,2013-05-15,SSE,SSE official fund list,https://etf.sse.com.cn/fundlist/,2026-08-06
513500,2014-01-15,SSE,SSE official fund list,https://etf.sse.com.cn/fundlist/,2026-08-06
