record_id,source_family,period,source_url,retrieved_at,page_sha256,release_at,release_timing_precision,headline_value,strict_point_in_time_status,article_status
nbs_pmi_2018_01,nbs_pmi,2018-01,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1899839.html,2026-09-04T13:05:09.859760+00:00,6c9bfaf078134db2f8ae686cfa3e0cf5fbf26b262bb89ad3be83c6caa078d79e,2018-01-31T01:00:00+00:00,minute,51.3,provisional_no_snapshot,ready
nbs_pmi_2018_02,nbs_pmi,2018-02,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1899853.html,2026-09-04T13:05:10.111743+00:00,48cfe7f51360bf63b38daba901365fd75dc7176c8bc4669d980e2a1f10d224b3,2018-02-28T01:00:00+00:00,minute,50.3,provisional_no_snapshot,ready
nbs_pmi_2018_03,nbs_pmi,2018-03,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1899881.html,2026-09-04T13:05:10.293238+00:00,ff32e1ff839fcd234459ac15bd859bbe2ed5df8017d3f4f581bb9a2c2651dcef,2018-03-31T01:00:00+00:00,minute,51.5,provisional_no_snapshot,ready
nbs_pmi_2018_04,nbs_pmi,2018-04,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1899925.html,2026-09-04T13:05:11.127012+00:00,62657a20cb2b2f067e0b47484abd923eef1ddc463e0fa5cf3e75122546538046,2018-04-30T01:00:00+00:00,minute,51.4,provisional_no_snapshot,ready
nbs_pmi_2018_05,nbs_pmi,2018-05,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1899952.html,2026-09-04T13:05:11.355411+00:00,81854a75d3218b23d580ff10615a068716227914d10b9c29ba4bcba254ed2836,2018-05-31T01:00:00+00:00,minute,51.9,provisional_no_snapshot,ready
nbs_pmi_2018_06,nbs_pmi,2018-06,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1899979.html,2026-09-04T13:05:12.114398+00:00,f95fc958c2111208b3b23a956a56eb29d32391b1fe5f5cfaff7244a0900059d7,2018-06-30T01:00:00+00:00,minute,51.5,provisional_no_snapshot,ready
nbs_pmi_2018_07,nbs_pmi,2018-07,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900034.html,2026-09-04T13:05:12.423449+00:00,4c8417c5b18f166e53f80a60905d16589039a767664b17d6278a51870da99d83,2018-07-31T01:00:00+00:00,minute,51.2,provisional_no_snapshot,ready
nbs_pmi_2018_08,nbs_pmi,2018-08,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900052.html,2026-09-04T13:05:13.161553+00:00,19139fc2c043729d03d7c204c3ca81ba4fa7b5b83305a8d2835f2c04dd299e46,2018-08-31T01:00:00+00:00,minute,51.3,provisional_no_snapshot,ready
nbs_pmi_2018_09,nbs_pmi,2018-09,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900094.html,2026-09-04T13:05:13.452729+00:00,50b5298f26cc4f68980df4520da15c6fa1041a13fa627be59fc5bd968106fcff,2018-09-30T01:00:00+00:00,minute,50.8,provisional_no_snapshot,ready
nbs_pmi_2018_10,nbs_pmi,2018-10,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900128.html,2026-09-04T13:05:13.780643+00:00,0069ca6af33fc3870b8c76fe885fe50642fd5f4634e43adfcd4daecbfd9db731,2018-10-31T01:00:00+00:00,minute,50.2,provisional_no_snapshot,ready
nbs_pmi_2018_11,nbs_pmi,2018-11,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900159.html,2026-09-04T13:05:14.014317+00:00,b20e191511c3e00c79ae170320e33a3557204d81148f4d647c046d0b5005d59f,2018-11-30T01:00:00+00:00,minute,50.0,provisional_no_snapshot,ready
nbs_pmi_2018_12,nbs_pmi,2018-12,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900190.html,2026-09-04T13:05:14.307194+00:00,e23df19d692535d7791dd5fd56dfc68f35b5d0587736a6c85068bb2df6503959,2018-12-31T01:00:00+00:00,minute,49.4,provisional_no_snapshot,ready
nbs_pmi_2019_01,nbs_pmi,2019-01,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900229.html,2026-09-04T13:05:14.548259+00:00,e914d6d0d49d98e240d232b84aac46b76eb2b20b302f5bc778cf4798e05ae446,2019-01-31T01:00:00+00:00,minute,49.5,provisional_no_snapshot,ready
nbs_pmi_2019_02,nbs_pmi,2019-02,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900243.html,2026-09-04T13:05:14.908910+00:00,3fd8e6c8ca099b1619fa5dbb5fb040718d514dfea696081fbbb0e2b7e84345ad,2019-02-28T01:00:00+00:00,minute,49.2,provisional_no_snapshot,ready
nbs_pmi_2019_03,nbs_pmi,2019-03,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900267.html,2026-09-04T13:05:15.158936+00:00,8ff8dded77982cd9c59b6a18e800e5430a49778d604a28b4e03d6ff836986dad,2019-03-31T01:00:00+00:00,minute,50.5,provisional_no_snapshot,ready
nbs_pmi_2019_04,nbs_pmi,2019-04,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900300.html,2026-09-04T13:05:15.540127+00:00,4c609e9eb38c9c619a40e71956509162e79374193be5ce26598d052c469a438e,2019-04-30T01:00:00+00:00,minute,50.1,provisional_no_snapshot,ready
nbs_pmi_2019_05,nbs_pmi,2019-05,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900331.html,2026-09-04T13:05:15.877130+00:00,021bab4b86a35c6ac62d24c9865b57a57b3f10de4a8cf57b453b1360c1067ba6,2019-05-31T01:00:00+00:00,minute,49.4,provisional_no_snapshot,ready
nbs_pmi_2019_06,nbs_pmi,2019-06,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900353.html,2026-09-04T13:05:16.162331+00:00,81f079f5a4a38762b932c7ca2af8708b91f0eac36e638363463e0cfba6df8782,2019-06-30T01:00:00+00:00,minute,49.4,provisional_no_snapshot,ready
nbs_pmi_2019_07,nbs_pmi,2019-07,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900397.html,2026-09-04T13:05:16.466771+00:00,7148dc26253eb2d582693bb09a3c9767bb998dd00e95b9ce1b2fb1d3e74a5266,2019-07-31T01:00:00+00:00,minute,49.7,provisional_no_snapshot,ready
nbs_pmi_2019_08,nbs_pmi,2019-08,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900440.html,2026-09-04T13:05:16.894445+00:00,bdfe8f0849bf1ff576e28ec2d8971625a4d7de8c5b2a3e57cbf14f796bf71229,2019-08-31T01:00:00+00:00,minute,49.5,provisional_no_snapshot,ready
nbs_pmi_2019_09,nbs_pmi,2019-09,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900464.html,2026-09-04T13:05:17.191172+00:00,7a623aa2c36129b1a1e021d84008e42a275aace9e1ab757659551957e99ff5a2,2019-09-30T01:00:00+00:00,minute,49.8,provisional_no_snapshot,ready
nbs_pmi_2019_10,nbs_pmi,2019-10,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900498.html,2026-09-04T13:05:17.541850+00:00,5fb04896497620be4505a51e33c3902d3c869a085aff203c61f569a20c5d12a3,2019-10-31T01:00:00+00:00,minute,49.3,provisional_no_snapshot,ready
nbs_pmi_2019_11,nbs_pmi,2019-11,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900540.html,2026-09-04T13:05:17.881227+00:00,7a0d4c26e72091696294172e07ec200790254fd04788ef9fb64c63e2ee6f8c7d,2019-11-30T01:00:00+00:00,minute,50.2,provisional_no_snapshot,ready
nbs_pmi_2019_12,nbs_pmi,2019-12,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900581.html,2026-09-04T13:05:21.313253+00:00,1b5df03975b22f26d7f2591e3e968dedf899284ed64482135606c6f413cdef7c,2019-12-31T01:00:00+00:00,minute,50.2,provisional_no_snapshot,ready
nbs_pmi_2020_01,nbs_pmi,2020-01,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900626.html,2026-09-04T13:05:24.854545+00:00,e7faa028aa065e178b5ad2e76d24a404dc8a7feb2b740b57494df542f74bc905,2020-01-31T01:00:00+00:00,minute,50.0,provisional_no_snapshot,ready
nbs_pmi_2020_02,nbs_pmi,2020-02,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900642.html,2026-09-04T13:05:28.368480+00:00,dc3af9beea2ff1924641927ad341c50ae3adbc00f9276d77a9b7ce235853d627,2020-02-29T01:00:00+00:00,minute,35.7,provisional_no_snapshot,ready
