record_id,dimension,series_id,series_name,period,release_at,source_url,source_record_type,value,unit,seasonal_adjustment,release_value_status,revision_status,historical_snapshot_url,strict_point_in_time_status,review_status
pmi_2024_09,growth,manufacturing_pmi,Manufacturing PMI,2024-09,2024-09-30T09:30:00+08:00,https://www.stats.gov.cn/sj/zxfb/202409/t20240930_1956798.html,original_release_page,49.8,index,seasonally_adjusted,official_release_value,revision_policy_not_stated,,provisional_no_snapshot,publication_record_ready
pmi_2024_10,growth,manufacturing_pmi,Manufacturing PMI,2024-10,2024-10-31T09:30:00+08:00,https://www.stats.gov.cn/sj/zxfb/202410/t20241031_1957214.html,original_release_page,50.1,index,seasonally_adjusted,official_release_value,revision_policy_not_stated,,provisional_no_snapshot,publication_record_ready
pmi_2024_11,growth,manufacturing_pmi,Manufacturing PMI,2024-11,2024-11-30T09:30:00+08:00,https://www.stats.gov.cn/zwfwck/sjfb/202411/t20241130_1957624.html,original_release_page,50.3,index,seasonally_adjusted,official_release_value,revision_policy_not_stated,,provisional_no_snapshot,publication_record_ready
pmi_2024_12,growth,manufacturing_pmi,Manufacturing PMI,2024-12,2024-12-31T09:30:00+08:00,https://www.stats.gov.cn/sj/zxfb/202412/t20241231_1958118.html,original_release_page,50.1,index,seasonally_adjusted,official_release_value,revision_policy_not_stated,,provisional_no_snapshot,publication_record_ready
cpi_2024_09,inflation,cpi_yoy,Consumer Price Index YoY,2024-09,2024-10-13T09:30:00+08:00,https://www.stats.gov.cn/sj/zxfb/202410/t20241013_1956899.html,original_release_page,0.4,percent,not_seasonally_adjusted,official_release_value,rounding_note_only_no_revision_policy_stated,,provisional_no_snapshot,publication_record_ready
cpi_2024_10,inflation,cpi_yoy,Consumer Price Index YoY,2024-10,2024-11-09T09:30:00+08:00,https://www.stats.gov.cn/sj/zxfb/202411/t20241109_1957353.html,original_release_page,0.3,percent,not_seasonally_adjusted,official_release_value,rounding_note_only_no_revision_policy_stated,,provisional_no_snapshot,publication_record_ready
cpi_2024_11,inflation,cpi_yoy,Consumer Price Index YoY,2024-11,2024-12-09T09:30:00+08:00,https://www.stats.gov.cn/sj/zxfb/202412/t20241209_1957689.html,original_release_page,0.2,percent,not_seasonally_adjusted,official_release_value,rounding_note_only_no_revision_policy_stated,,provisional_no_snapshot,publication_record_ready
cpi_2024_12,inflation,cpi_yoy,Consumer Price Index YoY,2024-12,2025-01-09T09:30:00+08:00,https://www.stats.gov.cn/sj/zxfb/202501/t20250109_1958170.html,original_release_page,0.1,percent,not_seasonally_adjusted,official_release_value,rounding_note_only_no_revision_policy_stated,,provisional_no_snapshot,publication_record_ready
m2_2023_03,liquidity,m2_yoy,Broad Money M2 YoY,2023-03,2023-04-11T23:59:59+08:00,https://xining.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212553125171/index.html,official_retrospective_confirmation,12.7,percent,not_seasonally_adjusted,published_initial,preliminary_value_and_comparable_scope_notes,,provisional_no_snapshot,publication_record_ready
m2_2023_11,liquidity,m2_yoy,Broad Money M2 YoY,2023-11,2023-12-13T17:01:00+08:00,https://xining.pbc.gov.cn/diaochatongjisi/116219/116225/b21be1ab65c94424a612a7666d605a1b/index.html,original_release_page,10.0,percent,not_seasonally_adjusted,published_initial,preliminary_value_and_comparable_scope_notes,,provisional_no_snapshot,publication_record_ready
m2_2024_06,liquidity,m2_yoy,Broad Money M2 YoY,2024-06,2024-07-12T17:01:00+08:00,https://xining.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212554139432/index.html,original_release_page,6.2,percent,not_seasonally_adjusted,published_initial,preliminary_value_and_comparable_scope_notes,,provisional_no_snapshot,publication_record_ready
m2_2024_07,liquidity,m2_yoy,Broad Money M2 YoY,2024-07,2024-08-13T17:01:00+08:00,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/8980a8a6f1414f649d3443cc09352c2b/index.html,original_release_page,6.3,percent,not_seasonally_adjusted,published_initial,preliminary_value_and_comparable_scope_notes,,provisional_no_snapshot,publication_record_ready
