record_id,source_id,title,period_end,published_at,publication_time_precision,index_url,document_url,expected_document_sha256,availability_evidence,historical_snapshot_url,historical_snapshot_sha256
pboc_mpr_2018_q1,pboc_mpr,China Monetary Policy Report 2018 Q1,2018-03-31,2018-05-11T21:09:24+08:00,second,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/3537682/53003f83ca094cbbab9a5c6440dd148e/index.html,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/3537682/53003f83ca094cbbab9a5c6440dd148e/2018051717143540409.pdf,2198ecbc7871f7539fd21f53fdfe18f535c2b0fadba9a66be6d63cbc848493a5,official_timestamped_index,,
pboc_mpr_2018_q2,pboc_mpr,China Monetary Policy Report 2018 Q2,2018-06-30,2018-08-10T21:35:21+08:00,second,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/3537682/5dad7896c1c945c5be61518cb4a06605/index.html,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/3537682/5dad7896c1c945c5be61518cb4a06605/2018081021363898908.pdf,805c74a9fb8248b06a63872348d2361e0f0ea709551fd4beafd8ec7e9bbaee2a,official_timestamped_index,,
pboc_mpr_2018_q3,pboc_mpr,China Monetary Policy Report 2018 Q3,2018-09-30,2018-11-09T22:15:03+08:00,second,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/3537682/2f27ca9be95f415ab75e6f597b93e167/index.html,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/3537682/2f27ca9be95f415ab75e6f597b93e167/2018110922231961722.pdf,afa5fe5cfe20f4efd491c70e72ff9e32325a6a404e682cbe562bc9d98e005e92,official_timestamped_index,,
pboc_mpr_2018_q4,pboc_mpr,China Monetary Policy Report 2018 Q4,2018-12-31,2019-02-21T19:42:13+08:00,second,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/3537682/f8d2bf5c14f940bcb7c8bf81df786d89/index.html,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/3537682/f8d2bf5c14f940bcb7c8bf81df786d89/2019022119340790088.pdf,31c9431a70f90bcdda609425e6fa78cd15081037fdc295881084273597eef406,official_timestamped_index,,
pboc_mpr_2019_q1,pboc_mpr,China Monetary Policy Report 2019 Q1,2019-03-31,2019-05-17T20:24:55+08:00,second,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/3830536/e0d70bbde6d34378bde1fcc3713126ec/index.html,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/3830536/e0d70bbde6d34378bde1fcc3713126ec/2019051720074058265.pdf,aa18fa8ed4bf330475816864b08ff65f27e9a68c7ba72b0ae5cde261ad4ec563,official_timestamped_index,,
pboc_mpr_2019_q2,pboc_mpr,China Monetary Policy Report 2019 Q2,2019-06-30,2019-08-09T21:52:59+08:00,second,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/3830536/51f3cba3238746d6bce56101159d931e/index.html,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/3830536/51f3cba3238746d6bce56101159d931e/2019080921013757815.pdf,542cc6789a326549a584f1820986117707cf842657cf5f2c8b2110247c32046d,official_timestamped_index,,
pboc_mpr_2019_q3,pboc_mpr,China Monetary Policy Report 2019 Q3,2019-09-30,2019-11-16T09:00:00+08:00,second,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/3830536/ed13cc6378964d7eb67a85649b922cd4/index.html,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/3830536/ed13cc6378964d7eb67a85649b922cd4/2019111521260575804.pdf,13158a5878bdf0cc317118decefb61b31686010f73ee391c55932db9ba00cf16,official_timestamped_index,,
pboc_mpr_2019_q4,pboc_mpr,China Monetary Policy Report 2019 Q4,2019-12-31,2020-02-19T20:29:12+08:00,second,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/3830536/0ed8aaed01074d00a1403e21613d1b8e/index.html,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/3974306/2020021915550328541.pdf,e5df0ac4843a17a2e686514a764b8c0be7e33c9664b085ca69e847f7c7a6f825,official_timestamped_index,,
pboc_mpr_2020_q1,pboc_mpr,China Monetary Policy Report 2020 Q1,2020-03-31,2020-05-10T09:00:20+08:00,second,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4021036/bf7154524a46409f866ef725fabee702/index.html,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4021036/bf7154524a46409f866ef725fabee702/2020050922062289404.pdf,8fa2bb148ab854961dc6d54cb3ea32b0f0ce6ad8ad88e8a254ee9ab7e7ea1034,official_timestamped_index,,
pboc_mpr_2020_q2,pboc_mpr,China Monetary Policy Report 2020 Q2,2020-06-30,2020-08-06T18:01:45+08:00,second,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4021036/c4d5506cdc934984b4507cce3a9d6ae4/index.html,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4021036/c4d5506cdc934984b4507cce3a9d6ae4/2020080617373334147.pdf,cc1dd16690d87e34051e3265cb5bdf1ae8da6d534b90f18170ca4a8402a0c128,official_timestamped_index,,
pboc_mpr_2020_q3,pboc_mpr,China Monetary Policy Report 2020 Q3,2020-09-30,2020-11-26T17:00:36+08:00,second,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4021036/d929ef3e77c149d5adf1c87316825101/index.html,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4021036/d929ef3e77c149d5adf1c87316825101/2020112615473038246.pdf,a1d75d96fe0dfc0ec26fdb039ad60739fa3835037d903e75a1f5b4b75edb7c0f,official_timestamped_index,,
pboc_mpr_2020_q4,pboc_mpr,China Monetary Policy Report 2020 Q4,2020-12-31,2021-02-08T22:20:39+08:00,second,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4021036/8d39aa9d730046c896289d17c09346d2/index.html,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4021036/8d39aa9d730046c896289d17c09346d2/2021020821282167078.pdf,54c3215d99b1a07c59115182e5ae630857936d367b2c397805fbe23ca8aaf295,official_timestamped_index,,
pboc_mpr_2021_q1,pboc_mpr,China Monetary Policy Report 2021 Q1,2021-03-31,2021-05-11T18:56:38+08:00,second,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4246985/f13557ddebc344d2951a8c6b24a1ad1b/index.html,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4246985/f13557ddebc344d2951a8c6b24a1ad1b/2021051118023165538.pdf,647831f08e3308dfa159d6b2c533db3c68f878779dfce13507b3e74b99f7e7b0,official_timestamped_index,,
pboc_mpr_2021_q2,pboc_mpr,China Monetary Policy Report 2021 Q2,2021-06-30,2021-08-09T18:13:50+08:00,second,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4246985/66040539e54c43e7b1f636a0f9e72ac5/index.html,https://www.pbc.gov.cn/goutongjiaoliu/fileDir/resource/cms/2021/08/2021081015495988989.pdf,ab88c6ebd9448b079d84e34b07e3e278e59b4d2d3c6fc5da26a5b6ccd8f45fa6,official_timestamped_index,,
pboc_mpr_2021_q3,pboc_mpr,China Monetary Policy Report 2021 Q3,2021-09-30,2021-11-19T19:54:16+08:00,second,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4246985/a44fb8cdcea94ddbaa661a88938b5337/index.html,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4246985/a44fb8cdcea94ddbaa661a88938b5337/2021111919371343936.pdf,5060c4377a5ea71f3993a54c5cb4bbcb77b801b8c67dab7575bbe17f2acfa20a,official_timestamped_index,,
pboc_mpr_2021_q4,pboc_mpr,China Monetary Policy Report 2021 Q4,2021-12-31,2022-02-11T19:33:17+08:00,second,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4246985/75d90372c9174bde9287c2c30935b477/index.html,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4246985/75d90372c9174bde9287c2c30935b477/2022021119311841777.pdf,357a207ab30677ae9dab439d44a3b1207a681895f93f30a0b71902ed1604e050,official_timestamped_index,,
pboc_mpr_2022_q1,pboc_mpr,China Monetary Policy Report 2022 Q1,2022-03-31,2022-05-09T17:30:20+08:00,second,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4584071/b455ea168faa400199173a3f02bd2db1/index.html,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4584071/b455ea168faa400199173a3f02bd2db1/2022050917023223026.pdf,ab7d65c04b398fcada79677485cec9cf5a5416b05a1df506319c427fac7549e5,official_timestamped_index,,
pboc_mpr_2022_q2,pboc_mpr,China Monetary Policy Report 2022 Q2,2022-06-30,2022-08-10T18:00:15+08:00,second,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4584071/2605ad0a2ae24eae961851ce56cce8f9/index.html,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4584071/2605ad0a2ae24eae961851ce56cce8f9/2022081019122441515.pdf,aec3cfd9f85e070d4a9a5357e88d348051a2b67a26f10d4aee28090ca3339bb6,official_timestamped_index,,
